Region,Zone/Sub City,Woreda
Oromia Region,West Hararge Zone,Anchar-Wereda
Oromia Region,West Hararge Zone,Guba Qoricha-Wereda
Oromia Region,West Hararge Zone,Habro-Wereda
Oromia Region,West Hararge Zone,Daro Lebu-Wereda
Oromia Region,West Hararge Zone,Boke-Wereda
Oromia Region,West Hararge Zone,Quni-Wereda
Oromia Region,West Hararge Zone,Gemechis-Wereda
Oromia Region,West Hararge Zone,Chiro Zuria-Wereda
Oromia Region,West Hararge Zone,Bedesa/Town/-Wereda
Oromia Region,East Hararge Zone,Kombolcha-Wereda
Oromia Region,East Hararge Zone,Jarso-Wereda
Oromia Region,East Hararge Zone,Gursum-Wereda
Oromia Region,East Hararge Zone,Babile-Wereda
Oromia Region,East Hararge Zone,Fedis-Wereda
Oromia Region,East Hararge Zone,Haromaya-Wereda
Oromia Region,East Hararge Zone,Kurfa Chele-Wereda
Oromia Region,East Hararge Zone,Qersa-Wereda
Oromia Region,East Hararge Zone,Meta-Wereda
Oromia Region,East Hararge Zone,Goro Gutu-Wereda
Oromia Region,East Hararge Zone,Deder-Wereda
Oromia Region,East Hararge Zone,Melka Belo-Wereda
Oromia Region,East Hararge Zone,Bedeno-Wereda
Oromia Region,East Hararge Zone,Midega Tola-Wereda
Oromia Region,East Hararge Zone,Chinaksen-Wereda
Oromia Region,East Hararge Zone,Girawa-Wereda
Oromia Region,East Hararge Zone,Gole Oda-Wereda
Oromia Region,East Hararge Zone,Meyu Muleke-Wereda
Oromia Region,Agarfa Zone,Agarfa-Wereda
Oromia Region,Agarfa Zone,Gololcha-Wereda
Oromia Region,Agarfa Zone,Gasera-Wereda
Oromia Region,Agarfa Zone,Beltu-Wereda
Oromia Region,Agarfa Zone,Ginir-Wereda
Oromia Region,Agarfa Zone,Sinana-Wereda
Oromia Region,Agarfa Zone,Goba-Wereda
Oromia Region,Agarfa Zone,Arena Buluq-Wereda
Oromia Region,Agarfa Zone,Delo Mena-Wereda
Oromia Region,Agarfa Zone,Meda Welabu-Wereda
Oromia Region,Agarfa Zone,Berbere-Wereda
Oromia Region,Agarfa Zone,Gura Damole-Wereda
Oromia Region,Agarfa Zone,Goro-Wereda
Oromia Region,Agarfa Zone,Raytu-Wereda
Oromia Region,Agarfa Zone,Seweyna-Wereda
Oromia Region,Agarfa Zone,Robe/Town/-Wereda
Oromia Region,Agarfa Zone,Goba/Town/-Wereda
Oromia Region,Agarfa Zone,Dawe Qachen-Wereda
Oromia Region,Agarfa Zone,Dinsho-Wereda
Oromia Region,Agarfa Zone,Dawe Serer-Wereda
Oromia Region,Borena Zone,Bule Hora-Wereda
Oromia Region,Borena Zone,Yabelo-Wereda
Oromia Region,Borena Zone,Arero-Wereda
Oromia Region,Borena Zone,Moyale-Wereda
Oromia Region,Borena Zone,Dire-Wereda
Oromia Region,Borena Zone,Teltele-Wereda
Oromia Region,Borena Zone,Abaya-Wereda
Oromia Region,Borena Zone,Dugda Dawa-Wereda
Oromia Region,Borena Zone,Meyo-Wereda
Oromia Region,Borena Zone,Gelana-Wereda
Oromia Region,South West Shewa Zone,Ameya-Wereda
Oromia Region,South West Shewa Zone,Wonchi-Wereda
Oromia Region,South West Shewa Zone,Weliso-Wereda
Oromia Region,South West Shewa Zone,Dawo-Wereda
Oromia Region,South West Shewa Zone,Ilu-Wereda
Oromia Region,South West Shewa Zone,Sebeta Hawas-Wereda
Oromia Region,South West Shewa Zone,Kersana Malima-Wereda
Oromia Region,South West Shewa Zone,Tole-Wereda
Oromia Region,South West Shewa Zone,Becho-Wereda
Oromia Region,South West Shewa Zone,Seden Sodo-Wereda
Oromia Region,South West Shewa Zone,Weliso/Town/-Wereda
Oromia Region,South West Shewa Zone,Goro-Wereda
Oromia Region,South West Shewa Zone,Sodo Dacha-Wereda
Oromia Region,South West Shewa Zone,Sebeta/Town/Wereda
Oromia Region,Guji Zone,Uraga-Wereda
Oromia Region,Guji Zone,Bore-Wereda
Oromia Region,Guji Zone,Adola-Wereda
Oromia Region,Guji Zone,Wadera-Wereda
Oromia Region,Guji Zone,Odo Shakiso-Wereda
Oromia Region,Guji Zone,Qercha-Wereda
Oromia Region,Guji Zone,Liben-Wereda
Oromia Region,Guji Zone,Dima-Wereda
Oromia Region,Guji Zone,Hambela Wamena-Wereda
Oromia Region,Guji Zone,Girja-Wereda
Oromia Region,Guji Zone,Negele/Town/-Wereda
Oromia Region,Guji Zone,Adola/Town/-Wereda
Oromia Region,Adama Special Zone,Adama/Town/Wereda
Oromia Region,Jimma Town Special Zone,Jimma/Town/-Wereda
Oromia Region,West Arsi Zone,Siraro-Wereda
Oromia Region,West Arsi Zone,Shala-Wereda
Oromia Region,West Arsi Zone,Arsi Negele-Wereda
Oromia Region,West Arsi Zone,Kofele-Wereda
Oromia Region,West Arsi Zone,Qore-Wereda
Oromia Region,West Arsi Zone,Gedeb Asasa-Wereda
Oromia Region,West Arsi Zone,Dodola-Wereda
Oromia Region,West Arsi Zone,Kokosa-Wereda
Oromia Region,West Arsi Zone,Nensebo-Wereda
Oromia Region,West Arsi Zone,Adaba-Wereda
Oromia Region,West Arsi Zone,Shashemene/Town/-Wereda
Oromia Region,West Arsi Zone,Shashemene Zuria Wereda
Oromia Region,Kelem Wellega Zone,Hawa Gelan-Wereda
Oromia Region,Kelem Wellega Zone,Yemalogi Welel-Wereda
Oromia Region,Kelem Wellega Zone,Dale Wabera-Wereda
Oromia Region,Kelem Wellega Zone,Gawo Qebe-Wereda
Oromia Region,Kelem Wellega Zone,Seyo-Wereda
Oromia Region,Kelem Wellega Zone,Dembi Dolo/Town/-Wereda
Oromia Region,Kelem Wellega Zone,Anfilo-Wereda
Oromia Region,Kelem Wellega Zone,Dale Sedi-Wereda
Oromia Region,Kelem Wellega Zone,Gidami-Wereda
Oromia Region,Kelem Wellega Zone,Jimma Horo-Wereda
Oromia Region,Kelem Wellega Zone,Lalo Kile-Wereda
Oromia Region,Horo Gudru Wellega -Zone,Horo-Wereda
Oromia Region,Horo Gudru Wellega -Zone,Shambu/Town/-Wereda
Oromia Region,Horo Gudru Wellega -Zone,Guduru-Wereda
Oromia Region,Horo Gudru Wellega -Zone,Hababo Guduru-Wereda
Oromia Region,Horo Gudru Wellega -Zone,Abay Chomen-Wereda
Oromia Region,Horo Gudru Wellega -Zone,Jimma Geneti-Wereda
Oromia Region,Horo Gudru Wellega -Zone,Jimma Rare-Wereda
Oromia Region,Horo Gudru Wellega -Zone,Jardga Jarte-Wereda
Oromia Region,Horo Gudru Wellega -Zone,Amuru-Wereda
Oromia Region,Horo Gudru Wellega -Zone,Abe Dengoro-Wereda
Oromia Region,Horo Gudru Wellega -Zone,Burayu/Town/-Wereda
Tigray Region,North West Tigray Zone,Tahtay Adiyabo-Wereda
Tigray Region,North West Tigray Zone,Laelay Adiyabo-Wereda
Tigray Region,North West Tigray Zone,Medebay Zana-Wereda
Tigray Region,North West Tigray Zone,Tahtay Qoraro-Wereda
Tigray Region,North West Tigray Zone,Asegede Tsimbila-Wereda
Tigray Region,North West Tigray Zone,Tselemti-Wereda
Tigray Region,North West Tigray Zone,Shire Enidasilase/Town/-Wereda
Tigray Region,North West Tigray Zone,Shiraro/Town/-Wereda
Tigray Region,Central Tigray Zone,Mereb Lehe-Wereda
Tigray Region,Central Tigray Zone,Ahiferom-Wereda
Tigray Region,Central Tigray Zone,Were Lehe-Wereda
Tigray Region,Central Tigray Zone,Adwa-Wereda
Tigray Region,Central Tigray Zone,Laelay Maychew-Wereda
Tigray Region,Central Tigray Zone,Tahtay Maychew-Wereda
Tigray Region,Central Tigray Zone,Nader Adet-Wereda
Tigray Region,Central Tigray Zone,Kola Temben-Wereda
Tigray Region,Central Tigray Zone,Degua Temben-Wereda
Tigray Region,Central Tigray Zone,Tanqua Abergele-Wereda
Tigray Region,Central Tigray Zone,Abiyi Adi/Town/Wereda
Tigray Region,Central Tigray Zone,Adwa/Town/-Wereda
Tigray Region,Central Tigray Zone,Axum/Town/-Wereda
Tigray Region,Eastern Tigray Zone,Gulo Meheda-Wereda
Tigray Region,Eastern Tigray Zone,Erob-Wereda
Tigray Region,Eastern Tigray Zone,Saesi Tsadamba-Wereda
Tigray Region,Eastern Tigray Zone,Ganta Afeshum-Wereda
Tigray Region,Eastern Tigray Zone,Hawuzen-Wereda
Tigray Region,Eastern Tigray Zone,Klite Awlalo-Wereda
Tigray Region,Eastern Tigray Zone,Atsbi Wenberta-Wereda
Tigray Region,Eastern Tigray Zone,Adigrat/Town/-Wereda
Tigray Region,Eastern Tigray Zone,Wukro/Town/-Wereda
Tigray Region,Southern Tigray Zone,Seharti Samre-Wereda
Tigray Region,Southern Tigray Zone,Enderta-Wereda
Tigray Region,Southern Tigray Zone,Hintalo Wajirat-Wereda
Tigray Region,Southern Tigray Zone,Alaje-Wereda
Tigray Region,Southern Tigray Zone,Endamehoni-Wereda
Tigray Region,Southern Tigray Zone,Raya Azebo-Wereda
Tigray Region,Southern Tigray Zone,Alamata-Wereda
Tigray Region,Southern Tigray Zone,Ofla-Wereda
Tigray Region,Southern Tigray Zone,Maychew/Town/-Wereda
Tigray Region,Southern Tigray Zone,Korem/Town/-Wereda
Tigray Region,Southern Tigray Zone,Alamata/Town/-Wereda
Tigray Region,Western Tigray Zone,Kafta Humera-Wereda
Tigray Region,Western Tigray Zone,Welkayit-Wereda
Tigray Region,Western Tigray Zone,Tsegede-Wereda
Tigray Region,Western Tigray Zone,Humera/Town/-Wereda
Tigray Region,Mekele Town Special Zone,Debub Mekele/Town/-Wereda
Tigray Region,Mekele Town Special Zone,Semen Mekele/Town/-Wereda
Benishangul-Gumuz Region,Metekel-Zone,Dangur-Wereda
Benishangul-Gumuz Region,Metekel-Zone,Guba-Wereda
Benishangul-Gumuz Region,Metekel-Zone,Wenbera-Wereda
Benishangul-Gumuz Region,Metekel-Zone,Mandura-Wereda
Benishangul-Gumuz Region,Metekel-Zone,Dibate-Wereda
Benishangul-Gumuz Region,Metekel-Zone,Bulen-Wereda
Benishangul-Gumuz Region,Asosa-Zone,Menge-Wereda
Benishangul-Gumuz Region,Asosa-Zone,Kurmuk-Wereda
Benishangul-Gumuz Region,Asosa-Zone,Asosa-Wereda
Benishangul-Gumuz Region,Asosa-Zone,Sherkole-Wereda
Benishangul-Gumuz Region,Asosa-Zone,Bambasi-Wereda
Benishangul-Gumuz Region,Asosa-Zone,Oda Bilidigilu-Wereda
Benishangul-Gumuz Region,Asosa-Zone,Homosha-Wereda
Benishangul-Gumuz Region,Kamashi-Zone,Yaso-Wereda
Benishangul-Gumuz Region,Kamashi-Zone,Sirba Abay-Wereda
Benishangul-Gumuz Region,Kamashi-Zone,Kamashi-Wereda
Benishangul-Gumuz Region,Kamashi-Zone,Agalo Meti-Wereda
Benishangul-Gumuz Region,Kamashi-Zone,Belojiganfo-Wereda
Benishangul-Gumuz Region,Kamashi-Zone,Pawe Special-Wereda
Benishangul-Gumuz Region,Kamashi-Zone,Mao Komo Special-Wereda
"S.N.N.P. Region",Gurage-Zone,Kebena-Wereda
"S.N.N.P. Region",Gurage-Zone,Abeshege-Wereda
"S.N.N.P. Region",Gurage-Zone,Ezha-Wereda
"S.N.N.P. Region",Gurage-Zone,Kokir Gedebano-Wereda
"S.N.N.P. Region",Gurage-Zone,Sodo-Wereda
"S.N.N.P. Region",Gurage-Zone,Meskan-Wereda
"S.N.N.P. Region",Gurage-Zone,Mareqo-Wereda
"S.N.N.P. Region",Gurage-Zone,Endegagn-Wereda
"S.N.N.P. Region",Gurage-Zone,Gumer-Wereda
"S.N.N.P. Region",Gurage-Zone,Cheha-Wereda
"S.N.N.P. Region",Gurage-Zone,Enemorna Ener-Wereda
"S.N.N.P. Region",Gurage-Zone,Muhor Na Aklil-Wereda
"S.N.N.P. Region",Gurage-Zone,Geta-Wereda
"S.N.N.P. Region",Gurage-Zone,Welkite/Town/-Wereda
"S.N.N.P. Region",Gurage-Zone,Butajira/Town/-Wereda
"S.N.N.P. Region",Hadiya-Zone,Misha-Wereda
"S.N.N.P. Region",Hadiya-Zone,Gibe-Wereda
"S.N.N.P. Region",Hadiya-Zone,Lemo-Wereda
"S.N.N.P. Region",Hadiya-Zone,Shashago-Wereda
"S.N.N.P. Region",Hadiya-Zone,Misrak Badawocho-Wereda
"S.N.N.P. Region",Hadiya-Zone,Soro-Wereda
"S.N.N.P. Region",Hadiya-Zone,Duna-Wereda
"S.N.N.P. Region",Hadiya-Zone,Analimo-Wereda
"S.N.N.P. Region",Hadiya-Zone,Mirab Badawocho-Wereda
"S.N.N.P. Region",Hadiya-Zone,Gomibara-Wereda
"S.N.N.P. Region",Hadiya-Zone,Hosaena/Town/-Wereda
"S.N.N.P. Region",Kembata Tibaro-Zone,Tibaro-Wereda
"S.N.N.P. Region",Kembata Tibaro-Zone,Anigacha-Wereda
"S.N.N.P. Region",Kembata Tibaro-Zone,Kedida Gamela-Wereda
"S.N.N.P. Region",Kembata Tibaro-Zone,Kacha Bira-Wereda
"S.N.N.P. Region",Kembata Tibaro-Zone,Hadero Tunito-Wereda
"S.N.N.P. Region",Kembata Tibaro-Zone,Doyo Gena-Wereda
"S.N.N.P. Region",Kembata Tibaro-Zone,Daniboya-Wereda
"S.N.N.P. Region",Kembata Tibaro-Zone,Durame/Town/-Wereda
"S.N.N.P. Region",Sidama-Zone,Shebedino-Wereda
"S.N.N.P. Region",Sidama-Zone,Hawassa Zuriya-Wereda
"S.N.N.P. Region",Sidama-Zone,Arbegona-Wereda
"S.N.N.P. Region",Sidama-Zone,Dale-Wereda
"S.N.N.P. Region",Sidama-Zone,Aleta Wondo-Wereda
"S.N.N.P. Region",Sidama-Zone,Dara-Wereda
"S.N.N.P. Region",Sidama-Zone,Hula-Wereda
"S.N.N.P. Region",Sidama-Zone,Bensa-Wereda
"S.N.N.P. Region",Sidama-Zone,Aroresa-Wereda
"S.N.N.P. Region",Sidama-Zone,Boricha-Wereda
"S.N.N.P. Region",Sidama-Zone,Gorche-Wereda
"S.N.N.P. Region",Sidama-Zone,Malga-Wereda
"S.N.N.P. Region",Sidama-Zone,Wensho-Wereda
"S.N.N.P. Region",Sidama-Zone,Loko Abeya-Wereda
"S.N.N.P. Region",Sidama-Zone,Chere-Wereda
"S.N.N.P. Region",Sidama-Zone,Bursa-Wereda
"S.N.N.P. Region",Sidama-Zone,Cheko-Wereda
"S.N.N.P. Region",Sidama-Zone,Bona Zuria-Wereda
"S.N.N.P. Region",Sidama-Zone,Wendo Genet-Wereda
"S.N.N.P. Region",Gedeo-Zone,Wenago-Wereda
"S.N.N.P. Region",Gedeo-Zone,Yirga Chefe-Wereda
"S.N.N.P. Region",Gedeo-Zone,Kochire-Wereda
"S.N.N.P. Region",Gedeo-Zone,Bule-Wereda
"S.N.N.P. Region",Gedeo-Zone,Dilazuria-Wereda
"S.N.N.P. Region",Gedeo-Zone,Gedeb-Wereda
"S.N.N.P. Region",Gedeo-Zone,Dila/Town/-Wereda
"S.N.N.P. Region",Wolayita-Zone,Boloso Sore-Wereda
"S.N.N.P. Region",Wolayita-Zone,Damot Gale-Wereda
"S.N.N.P. Region",Wolayita-Zone,Damot Woyide-Wereda
"S.N.N.P. Region",Wolayita-Zone,Humbo-Wereda
"S.N.N.P. Region",Wolayita-Zone,Sodo Zuriya-Wereda
"S.N.N.P. Region",Wolayita-Zone,Kindo Koyisha-Wereda
"S.N.N.P. Region",Wolayita-Zone,Ofa-Wereda
"S.N.N.P. Region",Wolayita-Zone,Boloso Bonibe-Wereda
"S.N.N.P. Region",Wolayita-Zone,Damot Sore-Wereda
"S.N.N.P. Region",Wolayita-Zone,Kindo Didaye-Wereda
"S.N.N.P. Region",Wolayita-Zone,Damot Pulasa-Wereda
"S.N.N.P. Region",Wolayita-Zone,Deguna Fanigo-Wereda
"S.N.N.P. Region",Wolayita-Zone,Sodo/Town/-Wereda
"S.N.N.P. Region",South Omo-Zone,Selamago-Wereda
"S.N.N.P. Region",South Omo-Zone,Debub Ari-Wereda
"S.N.N.P. Region",South Omo-Zone,Semen Ari-Wereda
"S.N.N.P. Region",South Omo-Zone,Hamer-Wereda
"S.N.N.P. Region",South Omo-Zone,Bena Tsemay-Wereda
"S.N.N.P. Region",South Omo-Zone,Dasenech-Wereda
"S.N.N.P. Region",South Omo-Zone,Male-Wereda
"S.N.N.P. Region",South Omo-Zone,Nyangatom-Wereda
"S.N.N.P. Region",Sheka-Zone,Masha-Wereda
"S.N.N.P. Region",Sheka-Zone,Anderacha-Wereda
"S.N.N.P. Region",Sheka-Zone,Yeki-Wereda
"S.N.N.P. Region",Kefa-Zone,Sayilem-Wereda
"S.N.N.P. Region",Kefa-Zone,Gesha Deka-Wereda
"S.N.N.P. Region",Kefa-Zone,Gewata-Wereda
"S.N.N.P. Region",Kefa-Zone,Gimbo-Wereda
"S.N.N.P. Region",Kefa-Zone,Menjiwo-Wereda
"S.N.N.P. Region",Kefa-Zone,Telo-Wereda
"S.N.N.P. Region",Kefa-Zone,Cheta-Wereda
"S.N.N.P. Region",Kefa-Zone,Decha-Wereda
"S.N.N.P. Region",Kefa-Zone,Chena-Wereda
"S.N.N.P. Region",Kefa-Zone,Bita-Wereda
"S.N.N.P. Region",Kefa-Zone,Bonga/Town/-Wereda
"S.N.N.P. Region",Gamo Gofa Zone,Melekoza-Wereda
"S.N.N.P. Region",Gamo Gofa Zone,Denibu Gofa-Wereda
"S.N.N.P. Region",Gamo Gofa Zone,Kucha-Wereda
"S.N.N.P. Region",Gamo Gofa Zone,Boreda-Wereda
"S.N.N.P. Region",Gamo Gofa Zone,Mirab Abaya-Wereda
"S.N.N.P. Region",Gamo Gofa Zone,Ariba Minich Zuria-Wereda
"S.N.N.P. Region",Gamo Gofa Zone,Chenicha-Wereda
"S.N.N.P. Region",Gamo Gofa Zone,Dita-Wereda
"S.N.N.P. Region",Gamo Gofa Zone,Deramalo-Wereda
"S.N.N.P. Region",Gamo Gofa Zone,Zala-Wereda
"S.N.N.P. Region",Gamo Gofa Zone,Uba Debretsehay-Wereda
"S.N.N.P. Region",Gamo Gofa Zone,Kemba-Wereda
"S.N.N.P. Region",Gamo Gofa Zone,Bonke-Wereda
"S.N.N.P. Region",Gamo Gofa Zone,Geze Gofa Wereda
"S.N.N.P. Region",Gamo Gofa Zone,Ayida-Wereda
"S.N.N.P. Region",Gamo Gofa Zone,Arba Minch/Town/-Wereda
"S.N.N.P. Region",Gamo Gofa Zone,Sawula/Town/Wereda
"S.N.N.P. Region",Bench Maji-Zone,Sheko-Wereda
"S.N.N.P. Region",Bench Maji-Zone,Guraferda-Wereda
"S.N.N.P. Region",Bench Maji-Zone,Debub Bench-Wereda
"S.N.N.P. Region",Bench Maji-Zone,Shay Bench-Wereda
"S.N.N.P. Region",Bench Maji-Zone,Meinit Goldeya-Wereda
"S.N.N.P. Region",Bench Maji-Zone,Meinit Shasha-Wereda
"S.N.N.P. Region",Bench Maji-Zone,Maji-Wereda
"S.N.N.P. Region",Bench Maji-Zone,Bero-Wereda
"S.N.N.P. Region",Bench Maji-Zone,Surima-Wereda
"S.N.N.P. Region",Bench Maji-Zone,Semen Bench-Wereda
"S.N.N.P. Region",Bench Maji-Zone,Mizan Aman/Town/-Wereda
"S.N.N.P. Region",Bench Maji-Zone,Yem Special-Wereda
"S.N.N.P. Region",Bench Maji-Zone,Amaro Special-Wereda
"S.N.N.P. Region",Bench Maji-Zone,Burji Special-Wereda
"S.N.N.P. Region",Bench Maji-Zone,Konso Special-Wereda
"S.N.N.P. Region",Bench Maji-Zone,Derashe Special-Wereda
"S.N.N.P. Region",Dawuro-Zone,Tocha-Wereda
"S.N.N.P. Region",Dawuro-Zone,Mareka-Wereda
"S.N.N.P. Region",Dawuro-Zone,Loma-Wereda
"S.N.N.P. Region",Dawuro-Zone,Gena Bosa-Wereda
"S.N.N.P. Region",Dawuro-Zone,Isara-Wereda
"S.N.N.P. Region",Dawuro-Zone,Basketo Special-Wereda
"S.N.N.P. Region",Dawuro-Zone,Konta Special-Wereda
"S.N.N.P. Region",Siltie-Zone,Alicho Werero-Wereda
"S.N.N.P. Region",Siltie-Zone,Siltie-Wereda
"S.N.N.P. Region",Siltie-Zone,Lanfuro-Wereda
"S.N.N.P. Region",Siltie-Zone,Mirab Azernet Berbere-Wereda
"S.N.N.P. Region",Siltie-Zone,Dalocha-Wereda
"S.N.N.P. Region",Siltie-Zone,Sankura-Wereda
"S.N.N.P. Region",Siltie-Zone,Misirak Azerenet Berbere-Wereda
"S.N.N.P. Region",Siltie-Zone,Wilbareg-Wereda
"S.N.N.P. Region",Siltie-Zone,Alaba Special-Wereda
"S.N.N.P. Region",Hawassa City Administration-Zone,Hawassa City Administration-Wereda
Harari Region,Harari-All Zone,Harari-All Wereda
Gambela Region,Agnewak-Zone,Gambella Zuriya-Wereda
Gambela Region,Agnewak-Zone,Abobo-Wereda
Gambela Region,Agnewak-Zone,Gog-Wereda
Gambela Region,Agnewak-Zone,Jor-Wereda
Gambela Region,Agnewak-Zone,Dima-Wereda
Gambela Region,Agnewak-Zone,Gambela/Town/-Wereda
Gambela Region,Nuwer-Zone,Lare-Wereda
Gambela Region,Nuwer-Zone,Jikawo-Wereda
Gambela Region,Nuwer-Zone,Wantawo-Wereda
Gambela Region,Nuwer-Zone,Akobo-Wereda
Gambela Region,Mejenger-Zone,Godare-Wereda
Gambela Region,Mejenger-Zone,Mengesh-Wereda
Gambela Region,Mejenger-Zone,Etang Special-Wereda
Somali Region,Shinile-Zone,Ayisha-Wereda
Somali Region,Shinile-Zone,Denbel-Wereda
Somali Region,Shinile-Zone,Shinile-Wereda
Somali Region,Shinile-Zone,Erer-Wereda
Somali Region,Shinile-Zone,Mulo-Wereda
Somali Region,Shinile-Zone,Afdem-Wereda
Somali Region,Jijiga-Zone,Babile-Wereda
Somali Region,Jijiga-Zone,Gursum-Wereda
Somali Region,Jijiga-Zone,Jijiga-Wereda
Somali Region,Jijiga-Zone,Awubere-Wereda
Somali Region,Jijiga-Zone,Kebri Beyah-Wereda
Somali Region,Jijiga-Zone,Harshin-Wereda
Somali Region,Degehabur-Zone,Degehamedo-Wereda
Somali Region,Degehabur-Zone,Degehabur-Wereda
Somali Region,Degehabur-Zone,Aware-Wereda
Somali Region,Degehabur-Zone,Gashamo-Wereda
Somali Region,Degehabur-Zone,Gunagudo-Wereda
Somali Region,Warder-Zone,Danot-Wereda
Somali Region,Warder-Zone,Boh-Wereda
Somali Region,Warder-Zone,Geladin-Wereda
Somali Region,Warder-Zone,Warder-Wereda
Somali Region,Korahe-Zone,Shekosh-Wereda
Somali Region,Korahe-Zone,Kebridehar-Wereda
Somali Region,Korahe-Zone,Shilabo-Wereda
Somali Region,Korahe-Zone,Debewoin-Wereda
Somali Region,Fik-Zone,Selehad-Wereda
Somali Region,Fik-Zone,Fik-Wereda
Somali Region,Fik-Zone,Gerbo-Wereda
Somali Region,Fik-Zone,Hamero-Wereda
Somali Region,Fik-Zone,Segeg-Wereda
Somali Region,Fik-Zone,Dihun-Wereda
Somali Region,Fik-Zone,Legehida-Wereda
Somali Region,Fik-Zone,Meyu Muluke-Wereda
Somali Region,Gode-Zone,Imiberi-Wereda
Somali Region,Gode-Zone,Adadilo-Wereda
Somali Region,Gode-Zone,Danan-Wereda
Somali Region,Gode-Zone,Gode-Wereda
Somali Region,Gode-Zone,Kelafo-Wereda
Somali Region,Gode-Zone,Mustahil-Wereda
Somali Region,Gode-Zone,Ferfer-Wereda
Somali Region,Afder-Zone,Guradamole-Wereda
Somali Region,Afder-Zone,Weyib-Wereda
Somali Region,Afder-Zone,Goro Bekeksa-Wereda
Somali Region,Afder-Zone,Serer-Wereda
Somali Region,Afder-Zone,Mirab Imi-Wereda
Somali Region,Afder-Zone,Afker-Wereda
Somali Region,Afder-Zone,Bare-Wereda
Somali Region,Afder-Zone,Bdolobay-Wereda
Somali Region,Afder-Zone,Kersa Dula Wereda
Somali Region,Liben-Zone,Filtu-Wereda
Somali Region,Liben-Zone,Dolo Odo-Wereda
Somali Region,Liben-Zone,Moyale-Wereda
Somali Region,Liben-Zone,Udet-Wereda
